rank,student_id,score,s_score,proportion,grade
270 = 288,312900522,69,688,96.97,B
270 = 288,312400418,69,688,96.97,B
270 = 288,312800788,69,688,96.97,B
270 = 288,312801971,69,688,96.97,B
270 = 288,312801447,69,688,96.97,B
270 = 288,312802163,69,688,96.97,B
270 = 288,312501085,69,688,96.97,B
270 = 288,312501096,69,688,96.97,B
270 = 288,312503836,69,688,96.97,B
270 = 288,312500182,69,688,96.97,B
270 = 288,312502931,69,688,96.97,B
270 = 288,312502957,69,688,96.97,B
289 = 306,312501477,68,685,96.76,B
289 = 306,312501522,68,685,96.76,B
289 = 306,312501857,68,685,96.76,B
289 = 306,312502357,68,685,96.76,B
289 = 306,312502292,68,685,96.76,B
289 = 306,312802173,68,685,96.76,B
289 = 306,312800703,68,685,96.76,B
289 = 306,312800611,68,685,96.76,B
289 = 306,312801167,68,685,96.76,B
289 = 306,312800428,68,685,96.76,B
289 = 306,312402224,68,685,96.76,B
289 = 306,312401116,68,685,96.76,B
289 = 306,312900246,68,685,96.76,B
289 = 306,312900460,68,685,96.76,B
289 = 306,312900473,68,685,96.76,B
289 = 306,312900959,68,685,96.76,B
289 = 306,312901475,68,685,96.76,B
289 = 306,312600262,68,685,96.76,B
307 = 323,313001194,67,682,96.55,B
307 = 323,313000771,67,682,96.55,B
307 = 323,313000937,67,682,96.55,B
307 = 323,313102162,67,682,96.55,B
307 = 323,312900395,67,682,96.55,B
307 = 323,312900104,67,682,96.55,B
307 = 323,312701073,67,682,96.55,B
307 = 323,312401730,67,682,96.55,B
307 = 323,312800235,67,682,96.55,B
307 = 323,312800391,67,682,96.55,B
307 = 323,312800814,67,682,96.55,B
307 = 323,312801390,67,682,96.55,B
307 = 323,312801737,67,682,96.55,B
307 = 323,312502346,67,682,96.55,B
307 = 323,312503674,67,682,96.55,B
307 = 323,312501561,67,682,96.55,B
307 = 323,312502172,67,682,96.55,B
324 = 341,312501847,66,679,96.34,B
324 = 341,312503003,66,679,96.34,B
324 = 341,312501551,66,679,96.34,B
324 = 341,312501533,66,679,96.34,B
324 = 341,312501536,66,679,96.34,B
324 = 341,312500515,66,679,96.34,B
324 = 341,312500517,66,679,96.34,B
324 = 341,312802134,66,679,96.34,B
324 = 341,312801436,66,679,96.34,B
324 = 341,312800161,66,679,96.34,B
324 = 341,312401471,66,679,96.34,B
324 = 341,312400348,66,679,96.34,B
