rank,student_id,score,s_score,proportion,grade
428 = 465,312501912,72,653,93.66,B
428 = 465,312501943,72,653,93.66,B
428 = 465,312501874,72,653,93.66,B
428 = 465,312503479,72,653,93.66,B
428 = 465,312503460,72,653,93.66,B
428 = 465,312503437,72,653,93.66,B
428 = 465,312501403,72,653,93.66,B
428 = 465,312502779,72,653,93.66,B
428 = 465,312502996,72,653,93.66,B
428 = 465,312502979,72,653,93.66,B
428 = 465,312503171,72,653,93.66,B
428 = 465,312501596,72,653,93.66,B
428 = 465,312501654,72,653,93.66,B
428 = 465,312501727,72,653,93.66,B
428 = 465,312500330,72,653,93.66,B
428 = 465,312500492,72,653,93.66,B
428 = 465,312500423,72,653,93.66,B
428 = 465,312502342,72,653,93.66,B
428 = 465,312500601,72,653,93.66,B
428 = 465,313103502,72,653,93.66,B
428 = 465,312801138,72,653,93.66,B
428 = 465,312802137,72,653,93.66,B
428 = 465,312801765,72,653,93.66,B
428 = 465,312800302,72,653,93.66,B
428 = 465,312901593,72,653,93.66,B
428 = 465,312900315,72,653,93.66,B
428 = 465,312900605,72,653,93.66,B
428 = 465,312900682,72,653,93.66,B
466 = 498,312900306,71,649,93.19,B-
466 = 498,313000964,71,649,93.19,B-
466 = 498,313000333,71,649,93.19,B-
466 = 498,312800205,71,649,93.19,B-
466 = 498,312800919,71,649,93.19,B-
466 = 498,312800524,71,649,93.19,B-
466 = 498,312800513,71,649,93.19,B-
466 = 498,312800672,71,649,93.19,B-
466 = 498,312801268,71,649,93.19,B-
466 = 498,312801121,71,649,93.19,B-
466 = 498,312801426,71,649,93.19,B-
466 = 498,313100433,71,649,93.19,B-
466 = 498,313100975,71,649,93.19,B-
466 = 498,312300015,71,649,93.19,B-
466 = 498,312500503,71,649,93.19,B-
466 = 498,312502491,71,649,93.19,B-
466 = 498,312500814,71,649,93.19,B-
466 = 498,312501514,71,649,93.19,B-
466 = 498,312501494,71,649,93.19,B-
466 = 498,312502201,71,649,93.19,B-
466 = 498,312500157,71,649,93.19,B-
466 = 498,312700056,71,649,93.19,B-
466 = 498,312700612,71,649,93.19,B-
466 = 498,312700089,71,649,93.19,B-
466 = 498,312701827,71,649,93.19,B-
466 = 498,312701859,71,649,93.19,B-
466 = 498,312701321,71,649,93.19,B-
466 = 498,312700037,71,649,93.19,B-
466 = 498,312700011,71,649,93.19,B-
466 = 498,312401161,71,649,93.19,B-
466 = 498,312401366,71,649,93.19,B-
466 = 498,312401502,71,649,93.19,B-
466 = 498,312401571,71,649,93.19,B-
499 = 547,312401687,70,645,92.69,B-
499 = 547,312401477,70,645,92.69,B-
499 = 547,312401455,70,645,92.69,B-
499 = 547,312402171,70,645,92.69,B-
499 = 547,312402167,70,645,92.69,B-
499 = 547,312402091,70,645,92.69,B-
499 = 547,312400678,70,645,92.69,B-
499 = 547,312401992,70,645,92.69,B-
499 = 547,312400106,70,645,92.69,B-
499 = 547,312401781,70,645,92.69,B-
499 = 547,312401417,70,645,92.69,B-
499 = 547,312401413,70,645,92.69,B-
499 = 547,312401227,70,645,92.69,B-
499 = 547,312402039,70,645,92.69,B-
499 = 547,312700436,70,645,92.69,B-
499 = 547,312700464,70,645,92.69,B-
499 = 547,312701337,70,645,92.69,B-
499 = 547,312701894,70,645,92.69,B-
499 = 547,312700935,70,645,92.69,B-
499 = 547,312701088,70,645,92.69,B-
499 = 547,312701113,70,645,92.69,B-
499 = 547,312701394,70,645,92.69,B-
499 = 547,312503525,70,645,92.69,B-
499 = 547,312503413,70,645,92.69,B-
499 = 547,312502719,70,645,92.69,B-
499 = 547,312500118,70,645,92.69,B-
499 = 547,312502753,70,645,92.69,B-
499 = 547,312502984,70,645,92.69,B-
499 = 547,312502925,70,645,92.69,B-
499 = 547,312503810,70,645,92.69,B-
499 = 547,312500561,70,645,92.69,B-
499 = 547,312501216,70,645,92.69,B-
499 = 547,312600211,70,645,92.69,B-
499 = 547,313100935,70,645,92.69,B-
499 = 547,312800929,70,645,92.69,B-
499 = 547,312800944,70,645,92.69,B-
499 = 547,312801810,70,645,92.69,B-
499 = 547,312800013,70,645,92.69,B-
499 = 547,313000091,70,645,92.69,B-
499 = 547,313000020,70,645,92.69,B-
499 = 547,313000875,70,645,92.69,B-
499 = 547,313000573,70,645,92.69,B-
499 = 547,313001165,70,645,92.69,B-
499 = 547,313000274,70,645,92.69,B-
499 = 547,312901479,70,645,92.69,B-
499 = 547,312901411,70,645,92.69,B-
499 = 547,312901296,70,645,92.69,B-
499 = 547,312900022,70,645,92.69,B-
499 = 547,312900264,70,645,92.69,B-
548 = 593,312900128,69,641,92.14,B-
548 = 593,312900452,69,641,92.14,B-
548 = 593,312900304,69,641,92.14,B-
548 = 593,313000729,69,641,92.14,B-
548 = 593,313000991,69,641,92.14,B-
548 = 593,313000550,69,641,92.14,B-
548 = 593,313000611,69,641,92.14,B-
548 = 593,313000647,69,641,92.14,B-
548 = 593,313000524,69,641,92.14,B-
548 = 593,312800179,69,641,92.14,B-
548 = 593,312801013,69,641,92.14,B-
548 = 593,312800868,69,641,92.14,B-
548 = 593,312801482,69,641,92.14,B-
548 = 593,312802297,69,641,92.14,B-
548 = 593,312801953,69,641,92.14,B-
548 = 593,313101525,69,641,92.14,B-
548 = 593,312600184,69,641,92.14,B-
548 = 593,312501193,69,641,92.14,B-
548 = 593,312501196,69,641,92.14,B-
548 = 593,312501162,69,641,92.14,B-
548 = 593,312501140,69,641,92.14,B-
548 = 593,312500986,69,641,92.14,B-
548 = 593,312502920,69,641,92.14,B-
548 = 593,312503148,69,641,92.14,B-
548 = 593,312501664,69,641,92.14,B-
548 = 593,312503196,69,641,92.14,B-
548 = 593,312503471,69,641,92.14,B-
548 = 593,312500166,69,641,92.14,B-
548 = 593,312501902,69,641,92.14,B-
548 = 593,312502175,69,641,92.14,B-
