rank,student_id,score,s_score,proportion,grade
211 = 248,312900986,87,718,98.55,A-
211 = 248,312900011,87,718,98.55,A-
211 = 248,312900417,87,718,98.55,A-
211 = 248,312901239,87,718,98.55,A-
211 = 248,312901248,87,718,98.55,A-
211 = 248,312900790,87,718,98.55,A-
211 = 248,313104180,87,718,98.55,A-
211 = 248,312401174,87,718,98.55,A-
211 = 248,312401253,87,718,98.55,A-
211 = 248,312400221,87,718,98.55,A-
211 = 248,312402105,87,718,98.55,A-
211 = 248,312401721,87,718,98.55,A-
211 = 248,312402219,87,718,98.55,A-
211 = 248,312500491,87,718,98.55,A-
211 = 248,312501058,87,718,98.55,A-
211 = 248,312501087,87,718,98.55,A-
211 = 248,312502825,87,718,98.55,A-
211 = 248,312503041,87,718,98.55,A-
211 = 248,312501752,87,718,98.55,A-
211 = 248,312503175,87,718,98.55,A-
211 = 248,312500967,87,718,98.55,A-
211 = 248,312503541,87,718,98.55,A-
211 = 248,312503239,87,718,98.55,A-
249 = 311,312503759,86,710,98.2,A-
249 = 311,312503524,86,710,98.2,A-
249 = 311,312502293,86,710,98.2,A-
249 = 311,312500654,86,710,98.2,A-
249 = 311,312500726,86,710,98.2,A-
249 = 311,312500753,86,710,98.2,A-
249 = 311,312500775,86,710,98.2,A-
249 = 311,312503796,86,710,98.2,A-
249 = 311,312503830,86,710,98.2,A-
249 = 311,312501555,86,710,98.2,A-
249 = 311,312501632,86,710,98.2,A-
249 = 311,312503027,86,710,98.2,A-
249 = 311,312503088,86,710,98.2,A-
249 = 311,312502966,86,710,98.2,A-
249 = 311,312500101,86,710,98.2,A-
249 = 311,312501040,86,710,98.2,A-
249 = 311,312501075,86,710,98.2,A-
249 = 311,312500022,86,710,98.2,A-
249 = 311,312501221,86,710,98.2,A-
249 = 311,312500208,86,710,98.2,A-
249 = 311,312500348,86,710,98.2,A-
249 = 311,312402227,86,710,98.2,A-
249 = 311,312402320,86,710,98.2,A-
249 = 311,312400812,86,710,98.2,A-
249 = 311,312400358,86,710,98.2,A-
249 = 311,312401791,86,710,98.2,A-
249 = 311,312401813,86,710,98.2,A-
249 = 311,312400499,86,710,98.2,A-
249 = 311,312400150,86,710,98.2,A-
249 = 311,313100215,86,710,98.2,A-
249 = 311,313104643,86,710,98.2,A-
249 = 311,312900072,86,710,98.2,A-
249 = 311,312900125,86,710,98.2,A-
249 = 311,312901630,86,710,98.2,A-
249 = 311,312900943,86,710,98.2,A-
249 = 311,313001090,86,710,98.2,A-
249 = 311,313000352,86,710,98.2,A-
249 = 311,313000092,86,710,98.2,A-
249 = 311,313001164,86,710,98.2,A-
249 = 311,312800039,86,710,98.2,A-
249 = 311,312800883,86,710,98.2,A-
249 = 311,312800834,86,710,98.2,A-
249 = 311,312800828,86,710,98.2,A-
249 = 311,312801916,86,710,98.2,A-
249 = 311,312800405,86,710,98.2,A-
249 = 311,312800396,86,710,98.2,A-
249 = 311,312801465,86,710,98.2,A-
249 = 311,312801362,86,710,98.2,A-
249 = 311,312802073,86,710,98.2,A-
249 = 311,312801156,86,710,98.2,A-
249 = 311,312801157,86,710,98.2,A-
249 = 311,312800709,86,710,98.2,A-
249 = 311,312800521,86,710,98.2,A-
249 = 311,312801673,86,710,98.2,A-
249 = 311,312801627,86,710,98.2,A-
249 = 311,312802205,86,710,98.2,A-
249 = 311,312802226,86,710,98.2,A-
249 = 311,312802110,86,710,98.2,A-
249 = 311,312701979,86,710,98.2,A-
249 = 311,312700955,86,710,98.2,A-
249 = 311,312700081,86,710,98.2,A-
249 = 311,312700858,86,710,98.2,A-
249 = 311,312700095,86,710,98.2,A-
312 = 363,312700886,85,702,97.83,A-
312 = 363,312802241,85,702,97.83,A-
312 = 363,312802170,85,702,97.83,A-
312 = 363,312801549,85,702,97.83,A-
312 = 363,312800458,85,702,97.83,A-
312 = 363,312800441,85,702,97.83,A-
312 = 363,312801801,85,702,97.83,A-
312 = 363,312800404,85,702,97.83,A-
312 = 363,312800159,85,702,97.83,A-
312 = 363,312800237,85,702,97.83,A-
312 = 363,312800179,85,702,97.83,A-
312 = 363,312800201,85,702,97.83,A-
312 = 363,312800307,85,702,97.83,A-
312 = 363,312800310,85,702,97.83,A-
312 = 363,313001064,85,702,97.83,A-
312 = 363,313000025,85,702,97.83,A-
312 = 363,312901471,85,702,97.83,A-
312 = 363,312900293,85,702,97.83,A-
312 = 363,312900387,85,702,97.83,A-
312 = 363,312901620,85,702,97.83,A-
312 = 363,312900535,85,702,97.83,A-
312 = 363,312900444,85,702,97.83,A-
312 = 363,312900505,85,702,97.83,A-
312 = 363,312900635,85,702,97.83,A-
312 = 363,313103197,85,702,97.83,A-
312 = 363,313103594,85,702,97.83,A-
312 = 363,313105115,85,702,97.83,A-
312 = 363,312401274,85,702,97.83,A-
312 = 363,312401219,85,702,97.83,A-
312 = 363,312401323,85,702,97.83,A-
312 = 363,312400374,85,702,97.83,A-
312 = 363,312400564,85,702,97.83,A-
312 = 363,312401714,85,702,97.83,A-
312 = 363,312401683,85,702,97.83,A-
312 = 363,312402091,85,702,97.83,A-
312 = 363,312400854,85,702,97.83,A-
312 = 363,312500024,85,702,97.83,A-
312 = 363,312501277,85,702,97.83,A-
312 = 363,312500124,85,702,97.83,A-
312 = 363,312502707,85,702,97.83,A-
312 = 363,312502718,85,702,97.83,A-
312 = 363,312500127,85,702,97.83,A-
312 = 363,312501599,85,702,97.83,A-
312 = 363,312503196,85,702,97.83,A-
312 = 363,312503202,85,702,97.83,A-
312 = 363,312502461,85,702,97.83,A-
312 = 363,312502522,85,702,97.83,A-
312 = 363,312500764,85,702,97.83,A-
312 = 363,312500904,85,702,97.83,A-
312 = 363,312502410,85,702,97.83,A-
312 = 363,312503743,85,702,97.83,A-
312 = 363,312503504,85,702,97.83,A-
364 = 418,312503455,84,696,97.49,B
364 = 418,312503335,84,696,97.49,B
364 = 418,312502353,84,696,97.49,B
364 = 418,312503832,84,696,97.49,B
364 = 418,312502657,84,696,97.49,B
364 = 418,312503155,84,696,97.49,B
364 = 418,312501402,84,696,97.49,B
364 = 418,312502942,84,696,97.49,B
364 = 418,312502917,84,696,97.49,B
364 = 418,312502820,84,696,97.49,B
364 = 418,312502870,84,696,97.49,B
